Date : 2022-02-09 12:46:41
Directory : c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite
Total : 204 files,  24282 codes, 872 comments, 4459 blanks, all 29613 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2021-12-31_21-58-00\results.md  | Markdown           |         22 |          0 |          7 |         29 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2022-01-10_22-40-29\details.md  | Markdown           |        174 |          0 |          6 |        180 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2022-01-10_22-40-29\results.csv | CSV                |        167 |          0 |          0 |        167 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\.VSCodeCounter\2022-01-10_22-40-29\results.md  | Markdown           |         22 |          0 |          7 |         29 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\@public.html                               | HTML               |         43 |          3 |        124 |        170 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\Constants.js.html                          | HTML               |        692 |          3 |         23 |        718 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\Construct.js.html                          | HTML               |         47 |          3 |         21 |         71 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\Funcs.html                                 | HTML               |      1,240 |          3 |      3,375 |      4,618 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\Functions.js.html                          | HTML               |        455 |          3 |         25 |        483 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\Utils.html                                 | HTML               |         63 |          3 |        154 |        220 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-Bold-webfont.svg            | XML                |      1,830 |          0 |          0 |      1,830 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-BoldItalic-webfont.svg      | XML                |      1,830 |          0 |          0 |      1,830 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-Italic-webfont.svg          | XML                |      1,830 |          0 |          0 |      1,830 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-Light-webfont.svg           | XML                |      1,831 |          0 |          0 |      1,831 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-LightItalic-webfont.svg     | XML                |      1,835 |          0 |          0 |      1,835 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\fonts\OpenSans-Regular-webfont.svg         | XML                |      1,831 |          0 |          0 |      1,831 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\global.html                                | HTML               |         54 |          3 |        145 |        202 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\index.html                                 | HTML               |         26 |          3 |         36 |         65 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\index.js.html                              | HTML               |        110 |          3 |         39 |        152 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\module-Constants.html                      | HTML               |         33 |          3 |         49 |         85 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\scripts\linenumber.js                      | JavaScript         |         22 |          1 |          3 |         26 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\scripts\prettify\lang-css.js               | JavaScript         |          2 |          0 |          1 |          3 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\scripts\prettify\prettify.js               | JavaScript         |         28 |          0 |          1 |         29 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\styles\jsdoc-default.css                   | CSS                |        304 |          0 |         55 |        359 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\styles\prettify-jsdoc.css                  | CSS                |         78 |         17 |         17 |        112 |
