"filename", "language", "JavaScript", "JSON", "Markdown", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\.eslintrc.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 56
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\README.md", "Markdown", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\8ball.js", "JavaScript", 42, 0, 0, 0, 0, 0, 2, 44
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\accept.js", "JavaScript", 33, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addcredits.js", "JavaScript", 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addemoji.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addquote.js", "JavaScript", 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addreplacer.js", "JavaScript", 7, 0, 0, 0, 0, 16, 1, 24
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\addrole.js", "JavaScript", 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\apply.js", "JavaScript", 57, 0, 0, 0, 0, 4, 1, 62
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\approve.js", "JavaScript", 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\assign.js", "JavaScript", 48, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\avatar.js", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\balance.js", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\ban.js", "JavaScript", 46, 0, 0, 0, 0, 1, 4, 51
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\banlist.js", "JavaScript", 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\bio.js", "JavaScript", 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\boost.js", "JavaScript", 66, 0, 0, 0, 0, 0, 1, 67
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\bug.js", "JavaScript", 49, 0, 0, 0, 0, 0, 1, 50
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\buy.js", "JavaScript", 63, 0, 0, 0, 0, 7, 4, 74
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\calculate.js", "JavaScript", 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\cat.js", "JavaScript", 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\clrs.js", "JavaScript", 23, 0, 0, 0, 0, 2, 1, 26
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\cmd.js", "JavaScript", 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\coinflip.js", "JavaScript", 57, 0, 0, 0, 0, 0, 1, 58
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\color.js", "JavaScript", 49, 0, 0, 0, 0, 0, 4, 53
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\cooldowns.js", "JavaScript", 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\covid.js", "JavaScript", 48, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\cstmrl.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\daily.js", "JavaScript", 58, 0, 0, 0, 0, 1, 1, 60
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\data.js", "JavaScript", 50, 0, 0, 0, 0, 9, 1, 60
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\decline.js", "JavaScript", 40, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\decode.js", "JavaScript", 32, 0, 0, 0, 0, 2, 2, 36
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\defend.js", "JavaScript", 42, 0, 0, 0, 0, 1, 1, 44
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\deldata.js", "JavaScript", 27, 0, 0, 0, 0, 0, 1, 28
