"filename", "language", "JSON", "JavaScript", "Markdown", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\divorce.js", "JavaScript", 0, 68, 0, 0, 0, 1, 3, 72
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\dm.js", "JavaScript", 0, 36, 0, 0, 0, 2, 2, 40
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\dose.js", "JavaScript", 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\downgrade.js", "JavaScript", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\dragon.js", "JavaScript", 0, 53, 0, 0, 0, 2, 1, 56
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\dragonalias.js", "JavaScript", 0, 49, 0, 0, 0, 2, 1, 52
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\editreplacer.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\editrolekw.js", "JavaScript", 0, 43, 0, 0, 0, 0, 2, 45
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\encode.js", "JavaScript", 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\eval.js", "JavaScript", 0, 63, 0, 0, 0, 5, 4, 72
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\execute.js", "JavaScript", 0, 28, 0, 0, 0, 4, 2, 34
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\export.js", "JavaScript", 0, 34, 0, 0, 0, 12, 1, 47
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\feed.js", "JavaScript", 0, 87, 0, 0, 0, 0, 2, 89
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\fetchuser.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\fish.js", "JavaScript", 0, 83, 0, 0, 0, 1, 2, 86
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\forcemarry.js", "JavaScript", 0, 39, 0, 0, 0, 0, 2, 41
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\get.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 42
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\github.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\give.js", "JavaScript", 0, 67, 0, 0, 0, 2, 3, 72
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\givemeallroles.js", "JavaScript", 0, 28, 0, 0, 0, 1, 1, 30
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\giverole.js", "JavaScript", 0, 51, 0, 0, 0, 2, 1, 54
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\help.js", "JavaScript", 0, 40, 0, 0, 0, 9, 5, 54
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\hug.js", "JavaScript", 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\hyphen.js", "JavaScript", 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\info.js", "JavaScript", 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\invite.js", "JavaScript", 0, 28, 0, 0, 0, 1, 1, 30
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\items.js", "JavaScript", 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\keywords.js", "JavaScript", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\level.js", "JavaScript", 0, 29, 0, 0, 0, 0, 1, 30
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\marry.js", "JavaScript", 0, 85, 0, 0, 0, 0, 3, 88
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\membercount.js", "JavaScript", 0, 20, 0, 0, 0, 1, 1, 22
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\mute.js", "JavaScript", 0, 64, 0, 0, 0, 0, 1, 65
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\name.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\npm.js", "JavaScript", 0, 55, 0, 0, 0, 0, 3, 58
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\offences.js", "JavaScript", 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\pay.js", "JavaScript", 0, 49, 0, 0, 0, 0, 1, 50
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\pbuy.js", "JavaScript", 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\perks.js", "JavaScript", 0, 68, 0, 0, 0, 0, 10, 78
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\perms.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\permstun.js", "JavaScript", 0, 25, 0, 0, 0, 1, 0, 26
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\ping.js", "JavaScript", 0, 24, 0, 0, 0, 1, 1, 26
