"filename", "language", "JSON", "Markdown", "JavaScript", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\disown.js", "JavaScript", 0, 0, 34, 0, 0, 1, 1, 36
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\ditems.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\divorce.js", "JavaScript", 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\dm.js", "JavaScript", 0, 0, 38, 0, 0, 2, 2, 42
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\dose.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\downgrade.js", "JavaScript", 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\dragon.js", "JavaScript", 0, 0, 55, 0, 0, 2, 1, 58
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\dragonalias.js", "JavaScript", 0, 0, 44, 0, 0, 2, 1, 47
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\editreplacer.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\editrolekw.js", "JavaScript", 0, 0, 35, 0, 0, 0, 2, 37
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\encode.js", "JavaScript", 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\eval.js", "JavaScript", 0, 0, 63, 0, 0, 5, 4, 72
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\execute.js", "JavaScript", 0, 0, 20, 0, 0, 15, 1, 36
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\feed.js", "JavaScript", 0, 0, 71, 0, 0, 0, 2, 73
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\fetchuser.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\fish.js", "JavaScript", 0, 0, 71, 0, 0, 1, 2, 74
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\forcemarry.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\get.js", "JavaScript", 0, 0, 42, 0, 0, 0, 2, 44
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\github.js", "JavaScript", 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\give.js", "JavaScript", 0, 0, 56, 0, 0, 1, 3, 60
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\givemeallroles.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\giverole.js", "JavaScript", 0, 0, 45, 0, 0, 1, 2, 48
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\help.js", "JavaScript", 0, 0, 40, 0, 0, 9, 5, 54
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\hug.js", "JavaScript", 0, 0, 26, 0, 0, 1, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\hyphen.js", "JavaScript", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\info.js", "JavaScript", 0, 0, 84, 0, 0, 1, 4, 89
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\invite.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\items.js", "JavaScript", 0, 0, 36, 0, 0, 0, 3, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\keywords.js", "JavaScript", 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\level.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\marry.js", "JavaScript", 0, 0, 54, 0, 0, 0, 1, 55
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\membercount.js", "JavaScript", 0, 0, 20, 0, 0, 1, 1, 22
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\mute.js", "JavaScript", 0, 0, 53, 0, 0, 0, 1, 54
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\name.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\npm.js", "JavaScript", 0, 0, 56, 0, 0, 0, 2, 58
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\offences.js", "JavaScript", 0, 0, 37, 0, 0, 0, 2, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\pay.js", "JavaScript", 0, 0, 41, 0, 0, 3, 1, 45
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\pbuy.js", "JavaScript", 0, 0, 35, 0, 0, 0, 2, 37
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\perks.js", "JavaScript", 0, 0, 67, 0, 0, 0, 10, 77
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\perms.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\permstun.js", "JavaScript", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\ping.js", "JavaScript", 0, 0, 21, 0, 0, 2, 2, 25
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\prefix.js", "JavaScript", 0, 0, 19, 0, 0, 2, 1, 22
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\profile.js", "JavaScript", 0, 0, 51, 0, 0, 0, 1, 52
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\pshop.js", "JavaScript", 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\ptransfer.js", "JavaScript", 0, 0, 40, 0, 0, 0, 3, 43
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\pull.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\punish.js", "JavaScript", 0, 0, 89, 0, 0, 4, 2, 95
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\purge.js", "JavaScript", 0, 0, 61, 0, 0, 0, 5, 66
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\reject.js", "JavaScript", 0, 0, 36, 0, 0, 0, 1, 37
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\reload.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\remove.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\removereplacer.js", "JavaScript", 0, 0, 24, 0, 0, 0, 2, 26
